ED_num,reported,candidate,party,votes
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),244
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),191
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   18,99.00%,WRITE-IN,&nbsp,5
ED   19,99.00%,Kamala D. Harris Tim Walz,(Democratic),363
ED   19,99.00%,Donald J. Trump JD Vance,(Republican),256
ED   19,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   19,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   19,99.00%,WRITE-IN,&nbsp,9
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),156
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),70
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   20,99.00%,WRITE-IN,&nbsp,1
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),233
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),218
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),29
ED   21,99.00%,WRITE-IN,&nbsp,12
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),37
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),53
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   22,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   22,99.00%,WRITE-IN,&nbsp,3
ED   23,99.00%,Kamala D. Harris Tim Walz,(Democratic),305
ED   23,99.00%,Donald J. Trump JD Vance,(Republican),180
ED   23,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   23,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   23,99.00%,WRITE-IN,&nbsp,3
ED   24,99.00%,Kamala D. Harris Tim Walz,(Democratic),192
ED   24,99.00%,Donald J. Trump JD Vance,(Republican),222
ED   24,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   24,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   24,99.00%,WRITE-IN,&nbsp,11
ED   25,99.00%,Kamala D. Harris Tim Walz,(Democratic),114
ED   25,99.00%,Donald J. Trump JD Vance,(Republican),99
ED   25,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   25,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   25,99.00%,WRITE-IN,&nbsp,2
ED   26,99.00%,Kamala D. Harris Tim Walz,(Democratic),238
ED   26,99.00%,Donald J. Trump JD Vance,(Republican),159
ED   26,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   26,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   26,99.00%,WRITE-IN,&nbsp,12
ED   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),171
ED   27,99.00%,Donald J. Trump JD Vance,(Republican),99
ED   27,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   27,99.00%,WRITE-IN,&nbsp,49
ED   28,99.00%,Kamala D. Harris Tim Walz,(Democratic),218
ED   28,99.00%,Donald J. Trump JD Vance,(Republican),134
ED   28,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   28,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   28,99.00%,WRITE-IN,&nbsp,15
ED   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),393
ED   29,99.00%,Donald J. Trump JD Vance,(Republican),245
ED   29,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   29,99.00%,WRITE-IN,&nbsp,14
ED   30,99.00%,Kamala D. Harris Tim Walz,(Democratic),260
ED   30,99.00%,Donald J. Trump JD Vance,(Republican),223
ED   30,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   30,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   30,99.00%,WRITE-IN,&nbsp,24
ED   31,99.00%,Kamala D. Harris Tim Walz,(Democratic),377
ED   31,99.00%,Donald J. Trump JD Vance,(Republican),323
ED   31,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   31,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   31,99.00%,WRITE-IN,&nbsp,26
ED   32,99.00%,Kamala D. Harris Tim Walz,(Democratic),370
ED   32,99.00%,Donald J. Trump JD Vance,(Republican),249
ED   32,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   32,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   32,99.00%,WRITE-IN,&nbsp,13
ED   33,85.71%,Kamala D. Harris Tim Walz,(Democratic),13
ED   33,85.71%,Donald J. Trump JD Vance,(Republican),21
ED   33,85.71%,Donald J. Trump JD Vance,(Conservative),0
ED   33,85.71%,Kamala D. Harris Tim Walz,(Working Families),1
ED   33,85.71%,WRITE-IN,&nbsp,0
ED   34,99.00%,Kamala D. Harris Tim Walz,(Democratic),104
ED   34,99.00%,Donald J. Trump JD Vance,(Republican),74
ED   34,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   34,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   34,99.00%,WRITE-IN,&nbsp,15
ED   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),163
ED   35,99.00%,Donald J. Trump JD Vance,(Republican),106
ED   35,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   35,99.00%,WRITE-IN,&nbsp,14
ED   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),461
ED   36,99.00%,Donald J. Trump JD Vance,(Republican),245
ED   36,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),33
ED   36,99.00%,WRITE-IN,&nbsp,10
ED   37,88.89%,Kamala D. Harris Tim Walz,(Democratic),190
ED   37,88.89%,Donald J. Trump JD Vance,(Republican),125
ED   37,88.89%,Donald J. Trump JD Vance,(Conservative),5
ED   37,88.89%,Kamala D. Harris Tim Walz,(Working Families),9
ED   37,88.89%,WRITE-IN,&nbsp,12
ED   38,99.00%,Kamala D. Harris Tim Walz,(Democratic),527
ED   38,99.00%,Donald J. Trump JD Vance,(Republican),254
ED   38,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   38,99.00%,Kamala D. Harris Tim Walz,(Working Families),57
ED   38,99.00%,WRITE-IN,&nbsp,47
ED   39,99.00%,Kamala D. Harris Tim Walz,(Democratic),383
ED   39,99.00%,Donald J. Trump JD Vance,(Republican),254
ED   39,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   39,99.00%,Kamala D. Harris Tim Walz,(Working Families),26
ED   39,99.00%,WRITE-IN,&nbsp,9
ED   40,99.00%,Kamala D. Harris Tim Walz,(Democratic),273
ED   40,99.00%,Donald J. Trump JD Vance,(Republican),163
ED   40,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   40,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   40,99.00%,WRITE-IN,&nbsp,16
ED   41,99.00%,Kamala D. Harris Tim Walz,(Democratic),191
ED   41,99.00%,Donald J. Trump JD Vance,(Republican),168
ED   41,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   41,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   41,99.00%,WRITE-IN,&nbsp,43
ED   42,99.00%,Kamala D. Harris Tim Walz,(Democratic),298
ED   42,99.00%,Donald J. Trump JD Vance,(Republican),124
ED   42,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   42,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   42,99.00%,WRITE-IN,&nbsp,23
ED   43,99.00%,Kamala D. Harris Tim Walz,(Democratic),375
ED   43,99.00%,Donald J. Trump JD Vance,(Republican),281
ED   43,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   43,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   43,99.00%,WRITE-IN,&nbsp,65
ED   44,99.00%,Kamala D. Harris Tim Walz,(Democratic),190
ED   44,99.00%,Donald J. Trump JD Vance,(Republican),117
ED   44,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   44,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   44,99.00%,WRITE-IN,&nbsp,69
ED   45,99.00%,Kamala D. Harris Tim Walz,(Democratic),91
ED   45,99.00%,Donald J. Trump JD Vance,(Republican),56
ED   45,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   45,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   45,99.00%,WRITE-IN,&nbsp,3
ED   46,99.00%,Kamala D. Harris Tim Walz,(Democratic),665
ED   46,99.00%,Donald J. Trump JD Vance,(Republican),281
ED   46,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED   46,99.00%,Kamala D. Harris Tim Walz,(Working Families),27
ED   46,99.00%,WRITE-IN,&nbsp,43
ED   47,99.00%,Kamala D. Harris Tim Walz,(Democratic),519
ED   47,99.00%,Donald J. Trump JD Vance,(Republican),261
ED   47,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   47,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   47,99.00%,WRITE-IN,&nbsp,51
ED   48,99.00%,Kamala D. Harris Tim Walz,(Democratic),185
ED   48,99.00%,Donald J. Trump JD Vance,(Republican),109
ED   48,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   48,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   48,99.00%,WRITE-IN,&nbsp,12
ED   49,99.00%,Kamala D. Harris Tim Walz,(Democratic),264
ED   49,99.00%,Donald J. Trump JD Vance,(Republican),832
ED   49,99.00%,Donald J. Trump JD Vance,(Conservative),47
ED   49,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   49,99.00%,WRITE-IN,&nbsp,12
ED   50,85.71%,Kamala D. Harris Tim Walz,(Democratic),94
ED   50,85.71%,Donald J. Trump JD Vance,(Republican),233
ED   50,85.71%,Donald J. Trump JD Vance,(Conservative),11
ED   50,85.71%,Kamala D. Harris Tim Walz,(Working Families),6
ED   50,85.71%,WRITE-IN,&nbsp,1
ED   51,85.71%,Kamala D. Harris Tim Walz,(Democratic),540
ED   51,85.71%,Donald J. Trump JD Vance,(Republican),338
ED   51,85.71%,Donald J. Trump JD Vance,(Conservative),24
ED   51,85.71%,Kamala D. Harris Tim Walz,(Working Families),20
ED   51,85.71%,WRITE-IN,&nbsp,36
ED   52,99.00%,Kamala D. Harris Tim Walz,(Democratic),662
ED   52,99.00%,Donald J. Trump JD Vance,(Republican),274
ED   52,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   52,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   52,99.00%,WRITE-IN,&nbsp,29
ED   53,99.00%,Kamala D. Harris Tim Walz,(Democratic),838
ED   53,99.00%,Donald J. Trump JD Vance,(Republican),145
ED   53,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   53,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   53,99.00%,WRITE-IN,&nbsp,12
ED   54,99.00%,Kamala D. Harris Tim Walz,(Democratic),116
ED   54,99.00%,Donald J. Trump JD Vance,(Republican),41
ED   54,99.00%,Donald J. Trump JD Vance,(Conservative),1
ED   54,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   54,99.00%,WRITE-IN,&nbsp,4
ED   55,85.71%,Kamala D. Harris Tim Walz,(Democratic),311
ED   55,85.71%,Donald J. Trump JD Vance,(Republican),126
ED   55,85.71%,Donald J. Trump JD Vance,(Conservative),6
ED   55,85.71%,Kamala D. Harris Tim Walz,(Working Families),10
ED   55,85.71%,WRITE-IN,&nbsp,18
ED   56,85.71%,Kamala D. Harris Tim Walz,(Democratic),383
ED   56,85.71%,Donald J. Trump JD Vance,(Republican),178
ED   56,85.71%,Donald J. Trump JD Vance,(Conservative),13
ED   56,85.71%,Kamala D. Harris Tim Walz,(Working Families),12
ED   56,85.71%,WRITE-IN,&nbsp,13
ED   57,85.71%,Kamala D. Harris Tim Walz,(Democratic),306
ED   57,85.71%,Donald J. Trump JD Vance,(Republican),175
ED   57,85.71%,Donald J. Trump JD Vance,(Conservative),14
ED   57,85.71%,Kamala D. Harris Tim Walz,(Working Families),16
ED   57,85.71%,WRITE-IN,&nbsp,7
ED   58,99.00%,Kamala D. Harris Tim Walz,(Democratic),374
ED   58,99.00%,Donald J. Trump JD Vance,(Republican),441
ED   58,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   58,99.00%,Kamala D. Harris Tim Walz,(Working Families),21
ED   58,99.00%,WRITE-IN,&nbsp,8
ED   59,99.00%,Kamala D. Harris Tim Walz,(Democratic),399
ED   59,99.00%,Donald J. Trump JD Vance,(Republican),329
ED   59,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED   59,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   59,99.00%,WRITE-IN,&nbsp,17
ED   60,99.00%,Kamala D. Harris Tim Walz,(Democratic),594
ED   60,99.00%,Donald J. Trump JD Vance,(Republican),466
ED   60,99.00%,Donald J. Trump JD Vance,(Conservative),44
ED   60,99.00%,Kamala D. Harris Tim Walz,(Working Families),24
ED   60,99.00%,WRITE-IN,&nbsp,15
ED   61,99.00%,Kamala D. Harris Tim Walz,(Democratic),557
ED   61,99.00%,Donald J. Trump JD Vance,(Republican),383
ED   61,99.00%,Donald J. Trump JD Vance,(Conservative),33
ED   61,99.00%,Kamala D. Harris Tim Walz,(Working Families),28
ED   61,99.00%,WRITE-IN,&nbsp,18
ED   62,99.00%,Kamala D. Harris Tim Walz,(Democratic),553
ED   62,99.00%,Donald J. Trump JD Vance,(Republican),425
ED   62,99.00%,Donald J. Trump JD Vance,(Conservative),28
ED   62,99.00%,Kamala D. Harris Tim Walz,(Working Families),21
ED   62,99.00%,WRITE-IN,&nbsp,10
ED   63,99.00%,Kamala D. Harris Tim Walz,(Democratic),253
ED   63,99.00%,Donald J. Trump JD Vance,(Republican),183
ED   63,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   63,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   63,99.00%,WRITE-IN,&nbsp,4
ED   64,99.00%,Kamala D. Harris Tim Walz,(Democratic),412
ED   64,99.00%,Donald J. Trump JD Vance,(Republican),407
ED   64,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   64,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   64,99.00%,WRITE-IN,&nbsp,7
ED   65,99.00%,Kamala D. Harris Tim Walz,(Democratic),498
ED   65,99.00%,Donald J. Trump JD Vance,(Republican),249
ED   65,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   65,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED   65,99.00%,WRITE-IN,&nbsp,84
ED   66,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   66,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   66,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   66,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   66,99.00%,WRITE-IN,&nbsp,0
Total,,Kamala D. Harris Tim Walz,(Democratic),20960
Total,,Donald J. Trump JD Vance,(Republican),14077
Total,,Donald J. Trump JD Vance,(Conservative),843
Total,,Kamala D. Harris Tim Walz,(Working Families),866
Total,,WRITE-IN,&nbsp,1078
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),617
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),298
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),34
ED    1,99.00%,WRITE-IN,&nbsp,21
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),564
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),236
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),55
ED    2,99.00%,WRITE-IN,&nbsp,21
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),86
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),113
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED    3,99.00%,WRITE-IN,&nbsp,2
ED    4,99.00%,Kamala D. Harris Tim Walz,(Democratic),238
ED    4,99.00%,Donald J. Trump JD Vance,(Republican),152
ED    4,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED    4,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED    4,99.00%,WRITE-IN,&nbsp,14
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),600
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),262
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),36
ED    5,99.00%,WRITE-IN,&nbsp,25
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),263
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),293
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED    6,99.00%,WRITE-IN,&nbsp,30
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),53
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),46
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),1
ED    7,99.00%,WRITE-IN,&nbsp,4
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),31
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),16
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),1
ED    8,99.00%,WRITE-IN,&nbsp,1
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),306
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),450
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),22
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED    9,99.00%,WRITE-IN,&nbsp,14
ED   10,99.00%,Kamala D. Harris Tim Walz,(Democratic),16
ED   10,99.00%,Donald J. Trump JD Vance,(Republican),16
ED   10,99.00%,Donald J. Trump JD Vance,(Conservative),1
ED   10,99.00%,Kamala D. Harris Tim Walz,(Working Families),1
ED   10,99.00%,WRITE-IN,&nbsp,0
ED   11,99.00%,Kamala D. Harris Tim Walz,(Democratic),219
ED   11,99.00%,Donald J. Trump JD Vance,(Republican),416
ED   11,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   11,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   11,99.00%,WRITE-IN,&nbsp,9
ED   12,99.00%,Kamala D. Harris Tim Walz,(Democratic),385
ED   12,99.00%,Donald J. Trump JD Vance,(Republican),533
ED   12,99.00%,Donald J. Trump JD Vance,(Conservative),31
ED   12,99.00%,Kamala D. Harris Tim Walz,(Working Families),23
ED   12,99.00%,WRITE-IN,&nbsp,15
ED   13,99.00%,Kamala D. Harris Tim Walz,(Democratic),357
ED   13,99.00%,Donald J. Trump JD Vance,(Republican),493
ED   13,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED   13,99.00%,Kamala D. Harris Tim Walz,(Working Families),24
ED   13,99.00%,WRITE-IN,&nbsp,12
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),306
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),486
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),24
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   14,99.00%,WRITE-IN,&nbsp,17
ED   15,99.00%,Kamala D. Harris Tim Walz,(Democratic),245
ED   15,99.00%,Donald J. Trump JD Vance,(Republican),339
ED   15,99.00%,Donald J. Trump JD Vance,(Conservative),23
ED   15,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   15,99.00%,WRITE-IN,&nbsp,15
ED   16,99.00%,Kamala D. Harris Tim Walz,(Democratic),233
ED   16,99.00%,Donald J. Trump JD Vance,(Republican),483
ED   16,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   16,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   16,99.00%,WRITE-IN,&nbsp,23
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),345
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),436
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),27
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED   17,99.00%,WRITE-IN,&nbsp,9
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),434
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),303
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),24
ED   18,99.00%,WRITE-IN,&nbsp,16
ED   19,99.00%,Kamala D. Harris Tim Walz,(Democratic),487
ED   19,99.00%,Donald J. Trump JD Vance,(Republican),259
ED   19,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   19,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   19,99.00%,WRITE-IN,&nbsp,29
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),514
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),235
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   20,99.00%,WRITE-IN,&nbsp,24
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),211
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),144
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   21,99.00%,WRITE-IN,&nbsp,7
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),585
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),416
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),27
ED   22,99.00%,Kamala D. Harris Tim Walz,(Working Families),29
ED   22,99.00%,WRITE-IN,&nbsp,22
ED   23,99.00%,Kamala D. Harris Tim Walz,(Democratic),269
ED   23,99.00%,Donald J. Trump JD Vance,(Republican),230
ED   23,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   23,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   23,99.00%,WRITE-IN,&nbsp,8
ED   24,99.00%,Kamala D. Harris Tim Walz,(Democratic),301
ED   24,99.00%,Donald J. Trump JD Vance,(Republican),259
ED   24,99.00%,Donald J. Trump JD Vance,(Conservative),23
ED   24,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   24,99.00%,WRITE-IN,&nbsp,14
ED   25,99.00%,Kamala D. Harris Tim Walz,(Democratic),430
ED   25,99.00%,Donald J. Trump JD Vance,(Republican),451
ED   25,99.00%,Donald J. Trump JD Vance,(Conservative),27
ED   25,99.00%,Kamala D. Harris Tim Walz,(Working Families),29
ED   25,99.00%,WRITE-IN,&nbsp,7
ED   26,99.00%,Kamala D. Harris Tim Walz,(Democratic),411
ED   26,99.00%,Donald J. Trump JD Vance,(Republican),454
ED   26,99.00%,Donald J. Trump JD Vance,(Conservative),35
ED   26,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED   26,99.00%,WRITE-IN,&nbsp,13
ED   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),477
ED   27,99.00%,Donald J. Trump JD Vance,(Republican),356
ED   27,99.00%,Donald J. Trump JD Vance,(Conservative),23
ED   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED   27,99.00%,WRITE-IN,&nbsp,7
ED   28,99.00%,Kamala D. Harris Tim Walz,(Democratic),355
ED   28,99.00%,Donald J. Trump JD Vance,(Republican),280
ED   28,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   28,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED   28,99.00%,WRITE-IN,&nbsp,10
ED   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),364
ED   29,99.00%,Donald J. Trump JD Vance,(Republican),454
ED   29,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),25
ED   29,99.00%,WRITE-IN,&nbsp,11
ED   30,99.00%,Kamala D. Harris Tim Walz,(Democratic),324
ED   30,99.00%,Donald J. Trump JD Vance,(Republican),406
